Model=2, Fold=3, Epoch=5, Valid ROC AUC=0.4972085262345679/0.5070258101851852
Model=2, Fold=3, Epoch=6, Valid ROC AUC=0.5125958333333334/0.5125958333333334
Model=2, Fold=3, Epoch=7, Valid ROC AUC=0.5048328317901234/0.5125958333333334
Model=2, Fold=3, Epoch=8, Valid ROC AUC=0.5066572530864197/0.5125958333333334
Model=2, Fold=3, Epoch=9, Valid ROC AUC=0.4867744984567901/0.5125958333333334
Model=2, Fold=4, Epoch=0, Valid ROC AUC=0.4959322916666667/0.4959322916666667
Model=2, Fold=4, Epoch=1, Valid ROC AUC=0.5074011188271604/0.5074011188271604
Model=2, Fold=4, Epoch=2, Valid ROC AUC=0.49087025462962963/0.5074011188271604
Model=2, Fold=4, Epoch=3, Valid ROC AUC=0.5083313271604939/0.5083313271604939
Model=2, Fold=4, Epoch=4, Valid ROC AUC=0.5119981095679011/0.5119981095679011
Model=2, Fold=4, Epoch=5, Valid ROC AUC=0.5031898148148148/0.5119981095679011
Model=2, Fold=4, Epoch=6, Valid ROC AUC=0.5068349537037037/0.5119981095679011
Model=2, Fold=4, Epoch=7, Valid ROC AUC=0.509157561728395/0.5119981095679011
Model=2, Fold=4, Epoch=8, Valid ROC AUC=0.5084425540123456/0.5119981095679011
Model=2, Fold=4, Epoch=9, Valid ROC AUC=0.5029815972222222/0.5119981095679011
